Gene	Condition1	Condition2	State
AC005550.3	-3.680861	-3.592139	unchanging
AC005592.1	-3.680861	-3.592139	unchanging
AC005594.1	0.99470407	1.1448267	unchanging
AC005609.17	-2.528858	-3.4401355	unchanging
AC005703.2	-3.680861	-3.592139	unchanging
AC005895.4	-3.680861	-3.592139	unchanging
AC006116.1	-3.528858	-1.8551732	unchanging
AC006156.1	-3.680861	-3.592139	unchanging
AC006156.2	-3.680861	-3.592139	unchanging
AC006157.2	-3.680861	-3.592139	unchanging
AC006159.3	-3.680861	-3.592139	unchanging
AC006262.2	-3.528858	-3.4401355	unchanging
AC006271.2	-3.680861	-3.592139	unchanging
AC006372.1	-3.680861	-3.592139	unchanging
AC006378.3	-3.680861	-3.592139	unchanging
AC006445.1	-3.680861	-3.592139	unchanging
AC006482.1	-3.680861	-3.592139	unchanging
AC006547.13	0.47114208	1.1448267	unchanging
AC006946.15	-3.528858	-3.4401355	unchanging
AC007099.2	-3.680861	-3.592139	unchanging
AC007163.6	-3.680861	-3.592139	unchanging
AC007255.7	-0.3589329	-1.1182077	unchanging
AC007275.2	-3.680861	-3.592139	unchanging
AC007278.3	-3.680861	-3.592139	unchanging
AC007285.6	-3.528858	-3.592139	unchanging
AC007365.3	-3.680861	-3.592139	unchanging
AC007403.2	-3.680861	-3.592139	unchanging
AC007405.8	-2.528858	-3.592139	unchanging
AC007563.5	0.17158182	0.9521816	unchanging
AC007731.1	-3.680861	-0.85517323	unchanging
AC007879.2	-3.680861	-3.592139	unchanging
AC007879.3	-3.680861	-3.592139	unchanging
AC007879.7	-3.680861	-3.592139	unchanging
AC007920.1	-3.680861	-3.592139	unchanging
AC007952.1	-3.680861	-3.592139	unchanging
AC007952.5	-3.528858	-3.592139	unchanging
AC007956.1	0.7930702	0.8817923	unchanging
AC007970.1	-3.680861	-3.4401355	unchanging
AC008069.1	-3.680861	-3.592139	unchanging
AC008069.3	-3.680861	-3.592139	unchanging
AC008073.9	-3.680861	-3.592139	unchanging
AC008103.5	1.0561047	1.4178451	unchanging
AC008163.4	-3.680861	-3.592139	unchanging
AC008268.1	-3.680861	-3.592139	unchanging
AC008278.3	-3.680861	-3.592139	unchanging
AC008440.5	2.2525017	2.6259534	unchanging
AC009110.1	-3.680861	-3.592139	unchanging
AC009113.1	3.3040318	3.114453	unchanging
AC009133.1	5.747267	5.7958784	unchanging
AC009229.6	-3.680861	-3.592139	unchanging
AC009232.2	-3.680861	-3.592139	unchanging
AC009312.1	-3.680861	-3.592139	unchanging
AC009505.4	-3.680861	-3.592139	unchanging
AC009508.1	-3.680861	-3.592139	unchanging
AC009784.3	-3.680861	-3.592139	unchanging
AC010105.1	-3.680861	-3.592139	unchanging
AC010136.2	-3.680861	-3.592139	unchanging
AC010336.2	3.7565444	3.63668	unchanging
AC010547.1	-3.528858	-3.4401355	unchanging
AC010606.1	-3.680861	-3.592139	unchanging
AC010723.1	-3.680861	-3.592139	unchanging
AC010729.1	-3.680861	-3.592139	unchanging
AC010733.4	-3.528858	-3.592139	unchanging
AC010883.5	-0.5288579	-3.4401355	unchanging
AC010894.3	-1.9438953	-1.4401357	unchanging
AC010974.3	-3.680861	-3.592139	unchanging
AC010997.1	-3.680861	-3.592139	unchanging
AC011193.1	-3.680861	-3.592139	unchanging
AC011325.1	-3.680861	-3.4401355	unchanging
AC011995.3	-3.680861	-3.592139	unchanging
AC011998.1	-3.680861	-3.592139	unchanging
AC012074.2	-3.680861	-3.4401355	unchanging
AC012123.1	2.6004252	2.8266509	unchanging
AC012215.1	2.2260296	1.9521816	unchanging
AC012307.2	-3.680861	-3.592139	unchanging
AC012368.1	-3.680861	-3.592139	unchanging
AC012506.3	-3.680861	-3.592139	unchanging
AC012652.1	6.8963575	6.680102	unchanging
AC012668.3	-3.680861	-3.592139	unchanging
AC013401.1	-3.528858	-3.592139	unchanging
AC013413.1	-3.680861	-3.592139	unchanging
AC013727.2	-3.680861	-3.592139	unchanging
AC015804.1	-3.680861	-3.592139	unchanging
AC015813.1	-3.680861	-3.592139	unchanging
AC015871.2	0.17158182	0.5598642	unchanging
AC015987.1	7.230198	7.2894845	unchanging
AC016683.6	4.025731	4.6151466	unchanging
AC016689.1	-3.680861	-3.592139	unchanging
AC016710.1	-3.680861	-3.592139	unchanging
AC016722.1	-3.680861	-3.592139	unchanging
AC016722.2	-3.680861	-3.592139	unchanging
AC016722.3	-3.680861	-3.592139	unchanging
AC016722.4	2.2260296	2.3927543	unchanging
AC016751.2	-3.680861	-3.592139	unchanging
AC016831.7	-3.680861	-3.4401355	unchanging
AC016903.1	-3.680861	-3.592139	unchanging
AC017053.1	-3.680861	-3.592139	unchanging
AC017076.5	-3.680861	-3.4401355	unchanging
AC017104.6	-3.680861	-3.592139	unchanging
AC017116.11	-1.2069298	-0.63278085	unchanging
AC018642.1	0.27849698	1.0192958	unchanging
AC018705.5	-3.680861	-3.592139	unchanging
AC018730.3	-3.528858	-3.4401355	unchanging
AC018878.3	-3.680861	-3.4401355	unchanging
AC019100.3	-3.528858	-3.592139	unchanging
AC019186.1	-3.680861	-3.592139	unchanging
AC019294.1	-3.680861	-3.592139	unchanging
AC019330.1	-3.680861	-3.592139	unchanging
AC019349.2	-3.680861	-3.592139	unchanging
AC020743.2	-3.680861	-3.592139	unchanging
AC020763.1	-1.528858	-0.63278085	unchanging
AC021016.8	-3.680861	-3.592139	unchanging
AC021066.1	0.47114208	0.36721915	unchanging
AC021188.4	-3.680861	-3.592139	unchanging
AC021593.1	2.085852	1.6473271	unchanging
AC022182.1	-3.680861	-3.592139	unchanging
AC022201.5	-0.9438953	0.14482673	unchanging
AC022431.2	-3.528858	-3.592139	unchanging
AC022431.3	-3.680861	-3.592139	unchanging
AC022596.1	1.0561047	1.6473271	unchanging
AC022884.1	-3.680861	-3.592139	unchanging
AC023469.2	-3.680861	-3.592139	unchanging
AC023672.2	-3.680861	-3.592139	unchanging
AC023797.1	-3.680861	-3.4401355	unchanging
AC024580.1	-1.528858	1.0192958	unchanging
AC024592.1	-3.680861	-3.592139	unchanging
AC026188.1	-3.680861	-3.592139	unchanging
AC026703.1	0.37803268	0.64732707	unchanging
AC034207.1	-1.2069298	-0.85517323	unchanging
AC034220.3	0.55860496	0.46675485	unchanging
AC058791.2	-2.528858	-0.27021074	unchanging
AC062020.1	-3.680861	-3.592139	unchanging
AC062021.1	-3.680861	-3.592139	unchanging
AC062032.1	-3.680861	-3.592139	unchanging
AC064834.1	-3.680861	-3.592139	unchanging
AC064871.3	-0.9438953	-1.1182077	unchanging
AC064874.1	-3.680861	-3.592139	unchanging
AC067959.1	-3.680861	-3.592139	unchanging
AC067960.1	-3.680861	-3.592139	unchanging
AC068057.2	-3.680861	-3.592139	unchanging
AC068280.1	-3.680861	-3.592139	unchanging
AC068542.1	-3.680861	-3.592139	unchanging
AC068580.5	-3.680861	-3.592139	unchanging
AC068831.8	4.2976904	3.9521816	unchanging
AC069277.2	-3.528858	-2.4401357	unchanging
AC069363.1	-3.680861	-3.592139	unchanging
AC069394.1	-3.680861	-3.592139	unchanging
AC069513.3	2.5372312	2.4425075	unchanging
AC072062.3	-3.680861	-3.592139	unchanging
AC073071.1	-3.680861	-3.592139	unchanging
AC073072.5	-3.528858	-3.592139	unchanging
AC073130.3	-3.680861	-3.4401355	unchanging
AC073133.2	-3.680861	-3.592139	unchanging
AC073218.1	-3.680861	-3.592139	unchanging
AC073218.3	-3.680861	-3.592139	unchanging
AC073343.1	1.641067	1.6891472	unchanging
AC073610.1	5.85052	5.9305515	unchanging
AC073626.2	-3.680861	-3.592139	unchanging
AC073636.1	-3.680861	-3.592139	unchanging
AC073934.6	-3.680861	-3.592139	unchanging
AC074286.1	0.99470407	1.0192958	unchanging
AC074389.5	-3.680861	-3.592139	unchanging
AC074391.1	-3.680861	-3.592139	unchanging
AC078799.1	-3.680861	-0.27021074	unchanging
AC078851.1	-3.680861	-3.592139	unchanging
AC078852.1	-3.680861	-3.592139	unchanging
AC078942.1	-3.680861	-3.592139	unchanging
AC079062.1	4.3659596	4.27411	unchanging
AC079117.1	-3.680861	-3.592139	unchanging
AC079305.8	-3.680861	-3.592139	unchanging
AC079612.2	-3.680861	-3.592139	unchanging
AC079767.2	3.212609	3.2877848	unchanging
AC079790.2	-3.680861	-3.4401355	unchanging
AC079807.4	-3.680861	-3.592139	unchanging
AC083862.1	-3.680861	-3.592139	unchanging
AC083864.3	-3.680861	-3.592139	unchanging
AC084018.1	-3.680861	-3.592139	unchanging
AC084018.1	1.8974068	2.114453	unchanging
AC084082.3	-3.680861	-3.592139	unchanging
AC084851.1	-3.680861	-3.4401355	unchanging
AC087289.1	0.37803268	0.8817923	unchanging
AC087590.3	4.471142	4.840635	unchanging
AC087859.1	-3.528858	-2.4401357	unchanging
AC090044.2	-3.680861	-3.592139	unchanging
AC090164.1	-3.680861	-3.592139	unchanging
AC090286.4	-3.680861	-3.592139	unchanging
AC090939.1	-1.528858	-1.1182077	unchanging
AC090952.5	-3.680861	-3.592139	unchanging
AC091177.1	-1.9438953	-0.27021074	unchanging
AC091609.1	-0.9438953	-0.44013572	unchanging
AC091729.7	-3.680861	-3.592139	unchanging
AC091814.3	-3.680861	-3.592139	unchanging
AC091878.1	0.6410671	0.64732707	unchanging
AC091969.1	-3.680861	-3.592139	unchanging
AC092067.1	-3.680861	-3.592139	unchanging
AC092070.1	-3.680861	-3.592139	unchanging
AC092117.1	-3.528858	-0.85517323	unchanging
AC092159.2	-1.2069298	-0.27021074	unchanging
AC092214.10	-3.528858	-3.592139	unchanging
AC092275.1	-3.680861	-3.4401355	unchanging
AC092594.1	-3.528858	-3.4401355	unchanging
AC092619.1	-3.680861	-3.592139	unchanging
AC092635.1	-3.680861	-3.592139	unchanging
AC092660.1	-3.680861	-3.592139	unchanging
AC092661.1	-3.680861	-3.592139	unchanging
AC093162.2	-3.528858	-1.4401357	unchanging
AC093415.3	-3.680861	-3.592139	unchanging
AC093627.8	-3.680861	-3.592139	unchanging
AC093639.1	-3.680861	-3.592139	unchanging
AC093734.14	-1.9438953	-0.63278085	unchanging
AC093822.1	-3.680861	-3.592139	unchanging
AC093838.7	-3.680861	-0.44013572	unchanging
AC096559.1	-3.680861	-3.592139	unchanging
AC096579.13	-3.528858	-3.4401355	unchanging
AC096669.2	-3.680861	-3.592139	unchanging
AC097381.1	-3.680861	-3.4401355	unchanging
AC097382.5	-3.680861	-3.592139	unchanging
AC097468.4	-3.680861	-3.592139	unchanging
AC097468.5	-3.680861	-3.592139	unchanging
AC097468.7	-3.680861	-3.592139	unchanging
AC097495.2	-3.680861	-3.592139	unchanging
AC097532.2	-3.680861	-3.592139	unchanging
AC097713.3	-3.680861	-3.592139	unchanging
AC097713.4	-3.680861	-3.592139	unchanging
AC098617.1	-3.680861	-3.4401355	unchanging
AC098617.2	-3.680861	-3.4401355	unchanging
AC098820.3	-1.528858	-3.4401355	unchanging
AC098820.4	-3.680861	-3.592139	unchanging
AC098973.2	-3.680861	-3.592139	unchanging
AC099344.2	-3.680861	-3.592139	unchanging
AC099489.1	-3.680861	-3.4401355	unchanging
AC100748.2	1.641067	1.4667549	unchanging
AC100830.3	-3.680861	-1.8551732	unchanging
AC103705.1	-3.680861	-3.592139	unchanging
AC103710.1	-3.680861	-3.592139	unchanging
AC103810.1	0.7930702	1.4178451	unchanging
AC103876.1	-3.680861	-3.592139	unchanging
AC104076.3	-3.528858	-3.592139	unchanging
AC104113.3	-0.3589329	0.26030394	unchanging
AC104135.4	-3.528858	-2.4401357	unchanging
AC104537.1	-3.680861	-3.592139	unchanging
AC104654.1	-3.680861	-3.592139	unchanging
AC104655.3	-1.9438953	-3.4401355	unchanging
AC104777.4	-3.680861	-3.592139	unchanging
AC104809.3	-3.680861	-3.592139	unchanging
AC104809.4	-3.528858	-3.592139	unchanging
AC104942.1	1.6805955	2.0834262	unchanging
AC105052.1	-2.528858	-1.8551732	unchanging
AC105339.1	-3.680861	-3.592139	unchanging
AC105344.2	-3.528858	-3.592139	unchanging
AC105398.3	-3.680861	-3.592139	unchanging
AC105750.1	-3.680861	-3.592139	unchanging
AC105760.2	-0.9438953	-1.4401357	unchanging
AC106876.2	-3.680861	-3.592139	unchanging
AC107218.3	-3.680861	-3.4401355	unchanging
AC108004.2	-3.680861	-3.592139	unchanging
AC108056.1	-3.680861	-3.592139	unchanging
AC108134.2	-3.680861	-3.592139	unchanging
AC108676.1	-3.528858	-3.592139	unchanging
AC108938.5	3.6004252	3.6994157	unchanging
AC109309.4	-3.680861	-3.592139	unchanging
AC109326.1	-3.680861	-3.4401355	unchanging
AC109460.2	-3.528858	-2.4401357	unchanging
AC110781.5	-3.680861	-3.592139	unchanging
AC112229.7	2.994704	3.3542802	unchanging
AC113607.1	-3.680861	-3.592139	unchanging
AC113607.3	-3.680861	-3.592139	unchanging
AC114730.11	0.056104653	-0.118207715	unchanging
AC114730.5	-3.680861	-3.592139	unchanging
AC114730.8	-2.528858	-3.592139	unchanging
AC114803.3	-3.680861	-3.592139	unchanging
AC114808.2	-3.680861	-3.592139	unchanging
AC114813.1	-3.680861	-3.592139	unchanging
AC114814.3	-3.680861	-3.592139	unchanging
AC116366.6	-1.528858	-1.1182077	unchanging
AC116609.2	-3.680861	-3.592139	unchanging
AC118344.1	0.17158182	-0.85517323	unchanging
AC118754.4	-3.680861	-3.592139	unchanging
AC120498.2	-3.680861	-3.592139	unchanging
AC123023.1	-3.680861	-3.592139	unchanging
AC124789.1	-3.680861	-3.592139	unchanging
AC128709.2	-3.680861	-3.592139	unchanging
AC128709.4	-3.680861	-3.592139	unchanging
AC130689.5	-3.680861	-3.592139	unchanging
AC131971.3	5.067332	4.9218082	unchanging
AC133485.1	2.2525017	1.1448267	unchanging
AC133528.2	-2.528858	-1.1182077	unchanging
AC133633.2	-3.680861	-3.592139	unchanging
AC133680.1	-2.528858	-3.592139	unchanging
AC135050.2	-3.528858	-0.63278085	unchanging
AC136940.1	-3.680861	-3.592139	unchanging
AC144525.1	-3.680861	-3.592139	unchanging
AC217773.1	-2.528858	-3.592139	unchanging
AC233264.5	-3.680861	-3.592139	unchanging
ACAT1	5.779481	5.308057	unchanging
ACBD4	1.1715819	1.1448267	unchanging
ACBD6	4.2976904	4.075564	unchanging
ACCN1	-3.680861	-3.592139	unchanging
ACE	0.55860496	0.7297893	unchanging
ACHE	-3.680861	-3.592139	unchanging
ACIN1	6.955965	6.9229035	unchanging
ACLY	6.9407835	7.0110755	unchanging
ACOT1	-2.528858	-1.8551732	unchanging
ACPT	-3.680861	-3.592139	unchanging
ACRBP	0.17158182	-0.85517323	unchanging
ACRV1	-1.528858	-1.1182077	unchanging
ACSF2	3.5796664	3.8266509	unchanging
ACSL4	6.7261705	7.5442824	unchanging
ACSM2A	-3.680861	-3.592139	unchanging
ACSM3	3.9629953	3.4053543	unchanging
ACSS1	4.9789367	3.9261863	down
ACTL7A	-3.680861	-3.592139	unchanging
ACTL9	-3.680861	-3.592139	unchanging
ACTN1	6.4851623	6.7946815	unchanging
ACTR1B	4.8805327	4.62056	unchanging
ACVR1B	5.563899	5.7934837	unchanging
ACY1	2.49351	2.5598643	unchanging
ADAM17	6.100498	6.1201973	unchanging
ADAM19	4.998619	5.0192957	unchanging
ADAM32	-1.9438953	-0.63278085	unchanging
ADAM6	-3.680861	-3.592139	unchanging
ADAMTS1	3.0409975	2.9861288	unchanging
ADAMTS14	-2.528858	-3.4401355	unchanging
ADAMTS20	-3.680861	-3.592139	unchanging
ADAMTS5	0.37803268	-1.1182077	unchanging
ADAMTS7	2.828694	2.0834262	unchanging
ADAMTSL4	-2.528858	0.26030394	unchanging
ADCK4	3.471142	3.430229	unchanging
ADCY5	4.2260294	1.8817922	down
ADH1B	-3.528858	-3.592139	unchanging
ADH4	-3.680861	-3.592139	unchanging
ADIPOR2	7.0371966	7.0131345	unchanging
ADM2	3.641067	3.9521816	unchanging
ADSS	5.57443	5.5626793	unchanging
AE000661.37	-2.528858	-3.4401355	unchanging
AF003626.1	-3.680861	-3.592139	unchanging
AF015720.3	-3.680861	-3.592139	unchanging
AF064858.8	-2.528858	-3.592139	unchanging
AF131216.6	1.6004251	1.2037203	unchanging
AF131217.1	-3.680861	-3.592139	unchanging
AF178030.2	-3.680861	-3.592139	unchanging
AF196972.9	-3.528858	-3.4401355	unchanging
AF240627.2	-3.680861	-3.592139	unchanging
AFG3L2	6.176774	5.910804	unchanging
AGAP10	3.72853	4.0834265	unchanging
AGAP6	3.316632	3.301331	unchanging
AGBL5-AS1	-3.680861	-3.592139	unchanging
AGRN	7.798133	8.034078	unchanging
AGTR2	-3.680861	-3.592139	unchanging
AGTRAP	3.5155363	3.341224	unchanging
AHDC1	3.880533	3.7397735	unchanging
AHI1	4.071055	4.2672234	unchanging
AHNAK	6.6284895	7.6117525	up
AHNAK2	3.651051	5.181916	up
AIG1	5.304032	4.952182	unchanging
AIRE	-3.680861	-3.592139	unchanging
AJ239322.3	-3.680861	-3.592139	unchanging
AKAP11-IT1	-3.680861	-3.592139	unchanging
AKAP17A	3.6106935	3.6259532	unchanging
AKIRIN1	6.2992787	6.35428	unchanging
AKTIP	4.675713	4.7397733	unchanging
AL031780.1	-3.528858	-1.4401357	unchanging
AL034372.1	-3.680861	-3.592139	unchanging
AL034548.1	4.6951437	4.6473274	unchanging
AL035541.1	-3.680861	-3.592139	unchanging
AL049840.1	-0.3589329	0.64732707	unchanging
AL078611.1	1.8286941	1.2603039	unchanging
AL078621.3	-3.680861	-3.592139	unchanging
AL096869.5	-3.680861	-3.592139	unchanging
AL109616.1	-3.528858	-2.4401357	unchanging
AL109761.5	-0.3589329	-0.85517323	unchanging
AL109767.1	-3.680861	-3.592139	unchanging
AL117340.1	-3.680861	-3.592139	unchanging
AL121656.5	-3.680861	-3.592139	unchanging
AL132709.5	-3.680861	-3.592139	unchanging
AL132709.7	-3.680861	-3.592139	unchanging
AL132709.8	-3.680861	-3.592139	unchanging
AL136307.2	-2.528858	-2.4401357	unchanging
AL139035.1	-1.9438953	-1.1182077	unchanging
AL157871.2	1.1149982	1.0834262	unchanging
AL158821.1	-1.528858	-0.85517323	unchanging
AL158835.1	-3.680861	-3.592139	unchanging
AL161668.12	-3.680861	-3.592139	unchanging
AL162853.2	1.3291231	1.8452666	unchanging
AL163195.3	-3.680861	-3.592139	unchanging
AL353997.3	-3.680861	-3.592139	unchanging
AL354696.2	-2.528858	-3.4401355	unchanging
AL354733.1	-3.680861	-3.592139	unchanging
AL354889.1	-3.680861	-3.592139	unchanging
AL355390.1	-3.680861	-3.592139	unchanging
AL355490.1	-3.680861	-3.592139	unchanging
AL356356.4	0.93057376	1.0192958	unchanging
AL358976.1	-3.680861	-3.592139	unchanging
AL360001.1	-3.680861	-2.4401357	unchanging
AL390763.1	-3.680861	-3.592139	unchanging
AL391137.1	-3.680861	-3.592139	unchanging
AL391244.1	-3.680861	-3.4401355	unchanging
AL450226.2	-3.680861	-3.592139	unchanging
AL513122.1	-3.680861	-1.8551732	unchanging
AL513497.1	3.291321	3.4667547	unchanging
AL583842.1	-3.680861	-3.592139	unchanging
AL583842.6	2.085852	2.788683	unchanging
AL589842.1	-3.528858	-3.592139	unchanging
AL589988.1	6.1593924	5.849883	unchanging
AL590303.1	-3.528858	-3.592139	unchanging
AL591845.1	-0.3589329	-1.4401357	unchanging
AL592528.1	-3.680861	-3.592139	unchanging
AL593851.1	13.173329	12.873067	unchanging
AL596225.1	-3.680861	-3.592139	unchanging
AL627171.1	-3.680861	-3.592139	unchanging
AL627443.1	-3.680861	-3.592139	unchanging
AL645730.2	-3.680861	-3.592139	unchanging
AL669918.1	4.6055684	4.430229	unchanging
AL671710.1	2.6208892	2.4425075	unchanging
AL929472.1	-3.680861	-3.592139	unchanging
ALAS2	-3.680861	-3.592139	unchanging
ALDH1L1	3.3537853	1.3147516	down
ALDH1L1-AS1	-3.528858	-3.592139	unchanging
ALDH1L1-AS2	-0.9438953	-3.592139	unchanging
ALDH5A1	4.8889947	4.7595367	unchanging
ALDH6A1	6.4851623	6.187398	unchanging
ALDOB	-3.680861	-2.4401357	unchanging
ALKBH7	2.5372312	2.7496889	unchanging
ALKBH8	3.802059	3.6473272	unchanging
ALOX12B	-3.680861	-3.4401355	unchanging
ALOX15	-3.680861	-0.63278085	unchanging
ALOX5AP	-3.680861	-3.592139	unchanging
ALPP	-0.9438953	1.4667549	unchanging
ALPPL2	0.55860496	2.6259534	up
ALX4	-1.2069298	-3.4401355	unchanging
AMELX	-3.680861	-3.592139	unchanging
AMIGO1	3.8286939	3.6259532	unchanging
AMIGO2	3.1435673	4.817252	up
AMMECR1-IT1	-3.680861	-3.592139	unchanging
AMN	4.1004987	3.807792	unchanging
AMOTL2	5.3166323	6.642013	up
AMY2B	3.5900831	3.4546819	unchanging
ANAPC10	3.7657628	3.2877848	unchanging
ANAPC2	4.093194	3.9349036	unchanging
ANGEL1	4.4767666	4.5428576	unchanging
ANGPTL1	2.6004252	3.63668	unchanging
ANGPTL5	-3.680861	-3.592139	unchanging
ANGPTL7	-3.528858	-3.592139	unchanging
ANKRD10-IT1	-1.528858	0.64732707	unchanging
ANKRD11	6.2492194	6.3832316	unchanging
ANKRD28	7.4455566	7.0017705	unchanging
ANKRD30B	-3.680861	-3.592139	unchanging
ANKRD31	0.47114208	-0.85517323	unchanging
ANKRD43	3.265558	2.7096112	unchanging
ANKRD44	1.6004251	1.3147516	unchanging
ANKRD5	4.093194	3.9607437	unchanging
ANKRD53	-3.680861	-1.8551732	unchanging
ANKZF1	3.6004252	3.4053543	unchanging
ANO8	2.8805332	2.6891472	unchanging
ANTXR1	6.8666763	6.4100513	unchanging
ANTXRL	-3.680861	-3.592139	unchanging
ANXA1	7.9981303	7.0254307	down
ANXA2	7.52371	8.284804	up
ANXA3	4.9305735	5.8336596	unchanging
ANXA8L2	-3.680861	-1.4401357	unchanging
AOAH	-3.680861	-3.592139	unchanging
AOC3	-0.5288579	-0.44013572	unchanging
AP000221.2	-3.680861	-3.592139	unchanging
AP000253.1	-3.680861	-2.4401357	unchanging
AP000266.7	-3.680861	-3.592139	unchanging
AP000295.7	2.9140856	2.8997142	unchanging
AP000304.12	5.350725	5.125918	unchanging
AP000320.6	-3.680861	-3.592139	unchanging
AP000322.54	-2.528858	-1.4401357	unchanging
AP000346.2	-1.528858	-0.63278085	unchanging
AP000431.2	-3.680861	-3.592139	unchanging
AP000442.1	0.71906954	0.019295823	unchanging
AP000442.4	-3.680861	-3.592139	unchanging
AP000459.4	-3.680861	-3.592139	unchanging
AP000462.2	-3.680861	-3.592139	unchanging
AP000473.5	-1.528858	0.7297893	unchanging
AP000474.1	-3.680861	-3.592139	unchanging
AP000475.2	-3.680861	-3.592139	unchanging
AP000476.1	-3.680861	-3.4401355	unchanging
AP000552.1	-1.2069298	-0.44013572	unchanging
AP000692.9	-3.680861	-1.8551732	unchanging
AP000867.1	-0.7215031	0.14482673	unchanging
AP000936.3	-1.9438953	-1.8551732	unchanging
AP000974.1	-3.680861	-3.4401355	unchanging
AP001042.1	-3.680861	-3.592139	unchanging
AP001046.5	-3.528858	-2.4401357	unchanging
AP001058.3	-3.680861	-3.592139	unchanging
AP001062.9	-3.680861	-3.592139	unchanging
AP001187.9	-3.680861	-3.592139	unchanging
AP001257.1	-3.680861	-3.592139	unchanging
AP001347.6	0.27849698	0.46675485	unchanging
AP001432.11	1.6805955	1.9861289	unchanging
AP001434.2	-3.680861	-3.592139	unchanging
AP001465.5	-3.680861	-3.592139	unchanging
AP001476.3	-3.680861	-3.592139	unchanging
AP001476.4	-3.680861	-3.592139	unchanging
AP001604.3	-3.680861	-3.592139	unchanging
AP001619.1	-3.528858	-2.4401357	unchanging
AP001625.5	-3.680861	-3.592139	unchanging
AP001626.1	-3.680861	-3.592139	unchanging
AP001628.7	-3.680861	-3.592139	unchanging
AP001885.1	-3.680861	-3.592139	unchanging
AP001891.1	-3.680861	-3.592139	unchanging
AP002008.1	-3.680861	-3.592139	unchanging
AP002856.6	-3.680861	-3.592139	unchanging
AP002954.3	-3.528858	-2.4401357	unchanging
AP003068.12	-3.528858	-3.4401355	unchanging
AP003419.11	2.2260296	2.8266509	unchanging
AP003419.15	-3.680861	-3.592139	unchanging
AP003716.1	1.3291231	0.9521816	unchanging
AP003774.4	-3.680861	-3.592139	unchanging
AP003774.6	-3.680861	-3.592139	unchanging
AP003774.7	-3.680861	-3.592139	unchanging
AP006216.11	-1.528858	-3.592139	unchanging
AP006216.12	-3.680861	-3.4401355	unchanging
